员工编号,姓名,部门,岗位序列,职级,学历,工作城市,入职日期,司龄(年),基本工资,绩效工资,岗位津贴,餐补交通补,应发工资,五险一金个人部分,个税扣除,实发工资,本年度绩效评级,是否在职
EMP0375,聂超,技术研发部,职能序列,P5,本科,广州,2022-01-29,3.4,25658,11185,2043,1565,40451,4247,2836,33368,B,是
EMP0376,贾东,产品部,运营序列,P5,本科,西安,2016-09-06,8.8,18810,5737,1240,401,26188,2749,1695,21744,A,是
EMP0377,张坤,销售部,运营序列,P5,本科,成都,2024-05-21,1.1,20441,8089,1912,1680,32122,3372,2169,26581,A,是
EMP0378,吴桂芝,技术研发部,运营序列,P2,本科,广州,2019-07-08,6.0,6979,2192,629,467,10267,1078,421,8768,B,是
EMP0379,张玉珍,销售部,技术序列,P1,本科,上海,2016-08-22,8.9,9537,1547,1025,857,12966,1361,637,10968,B,是
EMP0380,闻成,产品部,运营序列,P4,硕士,西安,2016-07-24,8.9,14543,3555,1575,1207,20880,2192,1270,17418,B,是
EMP0381,毕红梅,技术研发部,职能序列,P3,本科,杭州,2022-07-20,3.0,12383,3995,1547,1655,19580,2055,1166,16359,B,是
EMP0382,周辉,运营部,销售序列,P3,本科,西安,2021-05-06,4.2,12450,5417,1257,1168,20292,2130,1223,16939,B,是
EMP0383,刘帅,运营部,运营序列,P1,硕士,西安,2021-08-21,3.9,5517,2249,333,1294,9393,986,351,8056,B,是
EMP0384,薛建华,销售部,职能序列,P2,本科,成都,2021-12-15,3.5,6821,1490,926,1543,10780,1131,462,9187,B,是
EMP0385,曾娟,运营部,技术序列,P1,大专,上海,2017-10-06,7.7,9417,2034,762,1205,13418,1408,673,11337,A,是
EMP0386,司辉,销售部,运营序列,P6,硕士,西安,2016-08-20,8.9,28604,6016,4208,1148,39976,4197,2798,32981,B,是
EMP0387,赵勇,产品部,技术序列,P2,本科,武汉,2021-09-11,3.8,7959,3396,491,859,12705,1334,616,10755,C,是
EMP0388,袁雷,技术研发部,技术序列,P4,本科,武汉,2016-11-24,8.6,13664,5544,1992,741,21941,2303,1355,18283,B,是
EMP0389,吴欢,运营部,职能序列,P1,大专,广州,2018-01-31,7.4,7230,2765,427,1349,11771,1235,541,9995,B,是
EMP0390,李瑞,销售部,销售序列,P4,本科,成都,2016-10-07,8.7,14296,3828,1045,533,19702,2068,1176,16458,B,是
EMP0391,萧璐,客户服务部,技术序列,P3,本科,成都,2022-09-03,2.8,11371,3426,621,1006,16424,1724,913,13787,C,是
EMP0392,陶峰,市场部,产品序列,P6,大专,西安,2016-10-05,8.7,21059,6092,2537,1180,30868,3241,2069,25558,B,是
EMP0393,陈丽,市场部,销售序列,P6,本科,北京,2023-07-28,1.9,41472,9373,5599,527,56971,5981,4157,46833,B,是
EMP0394,罗洁,运营部,技术序列,P3,本科,上海,2018-08-21,6.9,19137,5769,1787,880,27573,2895,1805,22873,D,是
EMP0395,陈金凤,产品部,运营序列,P6,本科,深圳,2020-07-11,5.0,37498,5967,5356,1688,50509,5303,3640,41566,C,否
EMP0396,赵秀华,客户服务部,职能序列,M3,大专,深圳,2017-05-06,8.2,56913,10787,6205,1689,75594,7937,5647,62010,B,是
EMP0397,谢晶,销售部,运营序列,P5,本科,北京,2022-05-22,3.1,30752,12792,3474,1514,48532,5095,3482,39955,B,是
EMP0398,刘磊,市场部,技术序列,P5,本科,广州,2018-10-05,6.7,21765,8172,2928,1296,34161,3586,2332,28243,B,是
EMP0399,李杨,运营部,产品序列,P2,大专,深圳,2022-06-29,3.0,8239,2281,656,1379,12555,1318,604,10633,A,否
EMP0400,陈洋,运营部,职能序列,P4,硕士,西安,2022-09-01,2.8,13651,4165,1166,1666,20648,2168,1251,17229,C,是
EMP0401,管斌,技术研发部,运营序列,P1,大专,深圳,2016-06-11,9.1,8394,2190,1180,931,12695,1332,615,10748,B,是
EMP0402,梁峰,销售部,技术序列,P1,本科,武汉,2022-12-11,2.6,5564,2071,779,393,8807,924,304,7579,C,是
EMP0403,房想,人力资源部,职能序列,M3,大专,武汉,2016-12-01,8.6,40876,15747,6035,751,63409,6657,4672,52080,A,是
EMP0404,高楠,销售部,技术序列,P3,本科,杭州,2020-09-13,4.8,13720,5199,1923,1109,21951,2304,1356,18291,B,是
EMP0405,吴凯,产品部,职能序列,P4,硕士,上海,2023-05-16,2.1,24655,9043,1546,1527,36771,3860,2541,30370,S,否
EMP0406,张鑫,销售部,技术序列,P5,本科,广州,2022-07-18,3.0,24897,5262,3295,412,33866,3555,2309,28002,B,是
EMP0407,苏想,市场部,销售序列,P6,硕士,成都,2022-05-04,3.2,26722,6717,2431,315,36185,3799,2494,29892,B,是
EMP0408,杨晨,技术研发部,产品序列,M3,本科,上海,2021-11-11,3.6,61299,17835,9138,718,88990,9343,6719,72928,B,是
EMP0409,赵婷,销售部,产品序列,P2,本科,广州,2019-07-19,6.0,9957,2481,968,917,14323,1503,745,12075,S,是
EMP0410,王桂英,技术研发部,技术序列,P1,本科,深圳,2018-12-04,6.6,9659,3636,1017,732,15044,1579,803,12662,A,是
EMP0411,王兵,产品部,技术序列,P3,硕士,杭州,2018-04-16,7.2,12621,3140,1299,581,17641,1852,1011,14778,A,是
EMP0412,王红梅,客户服务部,销售序列,P2,本科,上海,2023-07-06,2.0,11727,2245,963,823,15758,1654,860,13244,A,是
EMP0413,何彬,客户服务部,销售序列,P1,本科,深圳,2024-01-12,1.5,8595,2318,494,892,12299,1291,583,10425,B,否
EMP0414,吴超,财务部,产品序列,P3,本科,广州,2019-07-10,6.0,11222,4982,1566,971,18741,1967,1099,15675,B,是
EMP0415,叶宁,运营部,产品序列,P5,本科,上海,2018-09-04,6.8,￥31797,6924,4142,545,43408,4557,3072,35779,B,是
EMP0416,涂磊,市场部,职能序列,P4,硕士,成都,2018-12-23,6.5,12163,4058,777,315,17313,1817,985,14511,B,是
EMP0417,覃秀英,产品部,销售序列,P3,本科,上海,2020-06-09,5.1,12493,3496,1595,1318,18902,1984,1112,15806,A,是
EMP0418,伊娟,产品部,运营序列,P4,本科,深圳,2017-06-20,8.0,22174,3798,2496,1181,29649,3113,1971,24565,A,是
EMP0419,李斌,运营部,产品序列,P2,本科,西安,2023-07-14,2.0,7068,2094,642,659,10463,1098,437,8928,A,是
EMP0420,陈秀华,运营部,产品序列,P1,本科,西安,2023-03-28,2.3,5592,2016,421,564,8593,902,287,7404,C,是
EMP0421,张红,销售部,职能序列,P5,硕士,上海,2019-05-13,6.1,31651,,4303,1078,46652,4898,3332,38422,B,是
EMP0422,杨峰,销售部,技术序列,P4,本科,成都,2021-02-15,4.4,13030,5363,1563,1390,21346,2241,1307,17798,A,是
EMP0423,范凤英,技术研发部,运营序列,P5,本科,杭州,2019-07-19,6.0,27151,6426,2844,1741,38162,4007,2652,31503,A,是
EMP0424,高桂珍,人力资源部,产品序列,P1,硕士,杭州,2024-06-06,1.1,6262,1101,694,771,8828,926,306,7596,C,是
EMP0425,阳彬,技术研发部,职能序列,P5,大专,西安,2016-10-24,8.7,23665,10198,1398,1324,36585,3841,2526,30218,B,是
EMP0426,景晶,人力资源部,技术序列,P4,本科,深圳,2016-02-08,9.4,17783,4685,1731,1444,25643,2692,1651,21300,B,否
EMP0427,廖梅,市场部,运营序列,P4,本科,广州,2021-02-20,4.4,17225,5562,1194,1668,25649,2693,1651,21305,B,是
EMP0428,陈敏,销售部,运营序列,P4,本科,深圳,2022-12-19,2.5,18583,7202,1316,1025,28126,2953,1850,23323,A,是
EMP0429,何坤,产品部,职能序列,P6,本科,杭州,2022-04-25,3.2,39265,9710,4559,447,53981,5668,3918,44395,D,是
EMP0430,李淑华,技术研发部,技术序列,P4,硕士,北京,2017-02-13,8.4,21605,7882,3049,1113,33649,3533,2291,27825,B,是
EMP0431,陈秀英,技术研发部,运营序列,P4,本科,北京,2016-10-27,8.7,21099,4022,1906,386,27413,2878,1793,22742,A,是
EMP0432,范丹丹,运营部,运营序列,M2,本科,上海,2022-01-11,3.5,45726,10854,3236,1193,61009,6405,4480,50124,C,是
EMP0433,魏帆,财务部,运营序列,P5,硕士,成都,2018-05-23,7.1,21395,4138,2457,338,28328,2974,1866,23488,B,是
EMP0434,蔡秀梅,技术研发部,运营序列,P3,本科,西安,2021-09-03,3.8,10768,4235,1476,1241,17720,1860,1017,14843,A,是
EMP0435,孙桂香,技术研发部,职能序列,P4,本科,武汉,2018-12-22,6.5,12704,2754,1585,459,17502,1837,1000,14665,B,是
EMP0436,赵金凤,运营部,销售序列,P3,本科,武汉,2017-06-26,8.0,8646,3157,1183,941,13927,1462,714,11751,A,是
EMP0437,常梅,技术研发部,技术序列,P2,硕士,武汉,2019-11-30,5.6,7697,3332,797,1479,13305,1397,664,11244,A,是
EMP0438,罗淑珍,销售部,销售序列,P4,本科,上海,2016-10-08,8.7,21119,6511,2643,1179,31452,3302,2116,26034,B,是
EMP0439,沈兵,运营部,运营序列,P6,硕士,北京,2018-09-27,6.8,47038,14676,3010,1474,66198,6950,4895,54353,A,是
EMP0440,曹欢,技术研发部,技术序列,P6,硕士,杭州,2020-02-22,5.4,36397,10493,3087,1128,51105,5366,3688,42051,C,是
EMP0441,张博,技术研发部,技术序列,P3,本科,上海,2019-03-13,6.3,16250,4026,1445,1753,23474,2464,1477,19533,D,是
EMP0442,穆秀梅,客户服务部,产品序列,P3,本科,武汉,2017-10-08,7.7,8374,2451,846,1611,13282,1394,662,11226,A,是
EMP0443,黄秀珍,市场部,职能序列,P2,硕士,武汉,2020-11-29,4.6,9322,3084,1332,1155,14893,1563,791,12539,B,是
EMP0444,高健,市场部,职能序列,M3,本科,西安,2025-05-08,0.1,39760,17724,5464,892,63840,6703,4707,52430,B,是
EMP0445,张阳,销售部,职能序列,M2,硕士,深圳,2022-02-03,3.4,43478,18753,2758,535,65524,6880,4841,53803,B,是
EMP0446,莫秀华,客户服务部,运营序列,P4,硕士,武汉,2023-11-21,1.6,12955,5294,871,1129,20249,2126,1219,16904,B,是
EMP0447,鲍璐,客户服务部,产品序列,P5,本科,成都,2019-05-24,6.1,22108,9213,1896,342,33559,3523,2284,27752,B,是
EMP0448,张桂芳,运营部,技术序列,P4,本科,武汉,2022-11-10,2.6,12148,3527,960,965,17600,1848,1008,14744,B,是
EMP0449,孟瑜,市场部,产品序列,P4,硕士,深圳,2025-01-18,0.4,22392,7775,2496,651,33314,3497,2265,27552,B,是
EMP0450,吕淑华,技术研发部,产品序列,P1,硕士,武汉,2023-05-02,2.2,5360,2243,751,1565,9919,1041,393,8485,D,是
EMP0451,尹秀梅,运营部,技术序列,P3,本科,成都,2021-12-06,3.6,10697,2865,1564,1242,16368,1718,909,13741,B,是
EMP0452,陶丽,财务部,技术序列,P4,大专,杭州,2016-02-02,9.4,20483,8982,2362,1712,33539,3521,2283,27735,C,是
EMP0453,施玉梅,市场部,运营序列,P4,本科,上海,2023-06-28,2.0,18712,5140,2503,1041,27396,2876,1791,22729,A,是
EMP0454,曲桂芝,销售部,职能序列,P3,本科,成都,2025-02-28,0.3,9784,3231,1003,480,14498,1522,759,12217,D,是
EMP0455,任静,技术研发部,销售序列,P7,本科,深圳,2022-03-21,3.3,59748,21685,4232,1194,86859,9120,6548,71191,B,是
EMP0456,卢旭,人力资源部,销售序列,P2,本科,上海,2019-05-11,6.1,14508,6313,1486,516,22823,2396,1425,19002,B,否
EMP0457,黄玉,技术研发部,职能序列,P3,本科,上海,2023-06-10,2.1,15597,3484,1645,798,21524,2260,1321,17943,B,是
EMP0458,齐杨,市场部,产品序列,P4,本科,深圳,2017-02-28,8.3,22746,8503,2826,1192,35267,3703,2421,29143,A,是
EMP0459,许欣,技术研发部,运营序列,P4,本科,西安,2017-07-04,8.0,13859,4244,997,1506,20606,2163,1248,17195,A,是
EMP0460,胡岩,技术研发部,职能序列,P4,本科,北京,2018-12-19,6.5,27744,6396,2409,1120,37669,3955,2613,31101,A,是
EMP0461,张玉兰,技术研发部,技术序列,P2,本科,武汉,2017-04-17,8.2,6006,2300,518,1373,10197,1070,415,8712,A,是
EMP0462,马明,运营部,产品序列,P2,本科,成都,2017-03-14,8.3,7878,2486,1149,461,11974,1257,557,10160,B,是
EMP0463,韩兰英,运营部,销售序列,P4,本科,深圳,2024-04-28,1.2,17096,5954,1613,1110,25773,2706,1661,21406,B,是
EMP0464,孙欢,财务部,产品序列,P4,本科,杭州,2022-03-16,3.3,13215,3262,1658,935,19070,2002,1125,15943,B,是
EMP0465,张佳,客户服务部,运营序列,P2,本科,广州,2017-09-28,7.8,9642,2838,1206,995,14681,1541,774,12366,A,是
EMP0466,孔红霞,市场部,运营序列,P4,本科,深圳,2019-01-20,6.4,21595,7238,1653,753,31239,3280,2099,25860,C,是
EMP0467,阎玉梅,产品部,技术序列,P3,硕士,武汉,2019-02-28,6.3,10044,2726,1076,982,14828,1556,786,12486,B,是
EMP0468,柳鹏,销售部,产品序列,P4,本科,武汉,2022-10-13,2.7,14216,2978,1982,644,19820,2081,1185,16554,D,是
EMP0469,冷雪,技术研发部,产品序列,P5,硕士,上海,2018-05-12,7.1,43513,19080,4243,456,67292,7065,4983,55244,B,是
EMP0470,郭鹏,客户服务部,技术序列,P2,本科,上海,2024-01-18,1.5,11230,3407,1622,1345,17604,1848,1008,14748,A,是
EMP0471,王秀云,技术研发部,技术序列,P1,本科,深圳,2019-11-05,5.7,8765,3244,626,1596,14231,1494,738,11999,B,是
EMP0472,杨洋,客户服务部,销售序列,P5,硕士,广州,2018-04-13,7.2,23494,6421,1348,533,31796,3338,2143,26315,B,是
EMP0473,张红,技术研发部,技术序列,P4,本科,西安,2023-09-16,1.8,14537,3729,2022,1386,21674,2275,1333,18066,S,是
EMP0474,许静,销售部,运营序列,P4,本科,深圳,2023-02-10,2.4,20632,5614,2780,1344,30370,3188,2029,25153,S,是
EMP0475,林霞,人力资源部,技术序列,P5,本科,广州,2018-12-17,6.5,24224,6607,3615,697,35143,3690,2411,29042,A,是
EMP0476,杨浩,客户服务部,销售序列,P5,本科,西安,2021-09-01,3.8,24706,7739,2913,1015,36373,3819,2509,30045,A,是
EMP0477,李欣,技术研发部,技术序列,M1,大专,广州,2021-06-24,4.0,24605,7702,3534,1019,36860,3870,2548,30442,B,是
EMP0478,严娟,财务部,产品序列,P3,本科,武汉,2018-10-25,6.7,10570,3161,1402,1789,16922,1776,953,14193,B,是
EMP0479,罗娟,客户服务部,销售序列,P3,大专,武汉,2025-06-27,0.0,7524,1432,1011,1621,11588,1216,527,9845,A,是
EMP0480,梁金凤,人力资源部,销售序列,P3,大专,武汉,2016-07-27,8.9,9949,2972,1063,602,14586,1531,766,12289,B,是
EMP0481,樊强,运营部,技术序列,P2,博士,杭州,2017-01-13,8.5,13210,2651,1165,783,17809,1869,1024,14916,B,是
EMP0482,吴娜,运营部,销售序列,P4,本科,武汉,2023-02-11,2.4,14001,2629,2008,510,19148,2010,1131,16007,A,否
EMP0483,张秀兰,市场部,产品序列,P2,本科,成都,2020-09-30,4.8,8821,3791,822,599,14033,1473,722,11838,S,是
EMP0484,王波,运营部,运营序列,P6,硕士,上海,2025-04-20,0.2,50088,16603,5203,824,72718,7635,5417,59666,A,是
EMP0485,王玉华,财务部,技术序列,P4,本科,上海,2019-02-07,6.4,22537,7839,2132,704,33212,3487,2256,27469,B,是
EMP0486,乔岩,销售部,技术序列,P4,本科,广州,2016-06-29,9.0,15858,4290,1688,655,22491,2361,1399,18731,A,是
EMP0487,唐刚,技术研发部,职能序列,P3,本科,上海,2016-01-15,9.5,11225,4744,1089,1533,18591,1952,1087,15552,B,是
EMP0488,王琴,产品部,运营序列,P1,本科,北京,2019-09-28,5.8,9468,3232,518,613,13831,1452,706,11673,B,是
EMP0489,龙秀芳,客户服务部,产品序列,P1,本科,西安,2024-08-24,0.9,4926,1875,680,1642,9123,957,329,7837,B,是
EMP0490,马凤兰,销售部,职能序列,P3,硕士,广州,2017-06-19,8.0,13009,3389,1228,454,18080,1898,1046,15136,A,是
EMP0491,蔡晶,市场部,职能序列,P1,博士,上海,2023-02-22,2.4,7259,3179,790,662,11890,1248,551,10091,B,是
EMP0492,张坤,运营部,技术序列,P4,本科,北京,2018-12-08,6.6,21783,8629,1392,1586,33390,3505,2271,27614,B,是
EMP0493,黄勇,产品部,运营序列,P6,本科,西安,2017-10-23,7.7,27410,11133,1379,1311,41233,4329,2898,34006,C,是
EMP0494,王峰,技术研发部,技术序列,P6,本科,杭州,2024-04-24,1.2,37934,7649,2827,1250,49660,5214,3572,40874,B,是
EMP0495,黄雪梅,市场部,职能序列,P4,大专,上海,2020-12-14,4.5,19022,4399,2291,1454,27166,2852,1773,22541,B,是
EMP0496,扈岩,产品部,职能序列,P2,硕士,北京,2022-03-09,3.3,13580,3200,813,1486,19079,2003,1126,15950,B,是
EMP0497,王建国,财务部,销售序列,P6,大专,深圳,2023-11-30,1.6,38341,8867,5401,1219,53828,5651,3906,44271,B,是
EMP0498,朱霞,技术研发部,技术序列,P6,本科,成都,2020-10-17,4.7,22933,9325,1639,1694,35591,3737,2447,29407,C,是
EMP0499,陈淑珍,客户服务部,技术序列,P2,硕士,深圳,2022-04-16,3.2,11063,1765,779,1456,15063,1581,805,12677,S,是
EMP0500,刘楠,客户服务部,技术序列,P4,本科,北京,2016-02-09,9.4,22592,3904,1539,1616,29651,3113,1972,24566,D,是
EMP0501,阳宁,运营部,技术序列,P2,本科,广州,2017-04-03,8.2,9489,2203,487,1601,13780,1446,702,11632,B,否
EMP0502,李峰,人力资源部,技术序列,P5,本科,武汉,2016-11-04,8.7,24199,5080,3077,1579,33935,3563,2314,28058,B,是
EMP0503,陈秀芳,产品部,销售序列,M3,硕士,武汉,2023-10-01,1.8,40419,8874,5557,961,55811,5860,4064,45887,S,是
EMP0504,李兰英,销售部,技术序列,P1,本科,武汉,2017-09-02,7.8,5519,2149,614,1584,9866,1035,389,8442,B,是
EMP0505,朱军,运营部,技术序列,P6,硕士,西安,2022-02-12,3.4,23685,7554,1630,947,33816,3550,2305,27961,B,是
EMP0506,贾兵,技术研发部,职能序列,P4,大专,广州,2016-05-27,9.1,19376,2939,1521,609,24445,2566,1555,20324,A,是
EMP0507,陈飞,销售部,产品序列,M1,硕士,西安,2025-05-11,0.1,17539,4889,1711,1200,25339,2660,1627,21052,A,否
EMP0508,阳坤,销售部,职能序列,P3,硕士,上海,2020-02-21,5.4,15060,4101,2190,439,21790,2287,1343,18160,C,是
EMP0509,张成,客户服务部,技术序列,P5,本科,武汉,2022-07-13,3.0,16045,2955,1199,1260,21459,2253,1316,17890,B,是
EMP0510,谢帆,运营部,运营序列,P1,本科,深圳,2022-03-13,3.3,9691,3419,1193,1205,15508,1628,840,13040,B,是
EMP0511,张琳,财务部,技术序列,P3,本科,广州,2017-08-29,7.8,10863,3917,1020,1593,17393,1826,991,14576,A,是
EMP0512,王斌,市场部,技术序列,P1,本科,广州,2020-10-26,4.7,6373,2334,508,920,10135,1064,410,8661,B,是
EMP0513,邓桂英,客户服务部,销售序列,M1,本科,武汉,2017-06-06,8.1,18356,6764,1754,862,27736,2912,1818,23006,B,是
EMP0514,刘秀华,销售部,技术序列,P5,本科,深圳,2016-06-20,9.0,26274,3941,1500,1511,33226,3488,2258,27480,B,否
EMP0515,黄秀兰,技术研发部,运营序列,P6,本科,杭州,2019-06-16,6.0,30163,13156,3917,415,47651,5003,3412,39236,B,是
EMP0516,郎玲,技术研发部,产品序列,P7,本科,广州,2020-02-02,5.4,35050,13818,2605,1020,52493,5511,3799,43183,B,是
EMP0517,张桂芳,市场部,产品序列,P1,大专,武汉,2024-12-04,0.6,6084,2562,745,1339,10730,1126,458,9146,B,是
EMP0518,张淑兰,销售部,销售序列,P3,本科,成都,2016-06-12,9.1,9962,1541,566,451,12520,1314,601,10605,A,是
EMP0519,汪建华,客户服务部,技术序列,P1,本科,北京,2020-01-05,5.5,11823,5085,1720,935,19563,2054,1165,16344,C,是
EMP0520,吴婷,技术研发部,职能序列,P2,硕士,西安,2018-05-10,7.1,6525,2563,452,1245,10785,1132,462,9191,B,是
EMP0521,杜燕,财务部,销售序列,P2,本科,上海,2023-08-25,1.9,10308,4135,1425,1225,17093,1794,967,14332,A,是
EMP0522,李丽,市场部,运营序列,P3,本科,广州,2018-10-19,6.7,11875,2113,1554,377,15919,1671,873,13375,B,是
EMP0523,黄明,客户服务部,销售序列,P2,硕士,成都,2023-06-24,2.0,8017,2979,1176,416,12588,1321,607,10660,B,否
EMP0524,燕梅,销售部,技术序列,P2,本科,成都,2017-02-25,8.4,7350,3219,718,1055,12342,1295,587,10460,A,是
EMP0525,夏想,销售部,产品序列,P2,硕士,广州,2019-12-19,5.5,9994,3533,1226,887,15640,1642,851,13147,A,是
EMP0526,黄柳,市场部,技术序列,P2,本科,杭州,2024-09-30,0.8,8803,2827,766,457,12853,1349,628,10876,B,是
EMP0527,韩玉兰,市场部,职能序列,M1,本科,北京,2022-04-12,3.2,22940,9948,1569,1620,36077,3788,2486,29803,A,否
EMP0528,潘龙,产品部,销售序列,P5,大专,上海,2020-07-22,4.9,24875,7036,2345,484,34740,3647,2379,28714,B,是
EMP0529,何成,技术研发部,技术序列,M1,本科,广州,2022-12-17,2.5,15807,5212,1052,1559,23630,2481,1490,19659,A,是
EMP0530,来淑兰,销售部,职能序列,P3,大专,西安,2024-05-27,1.1,9509,2785,1409,1516,15219,1597,817,12805,B,是
EMP0531,王勇,销售部,技术序列,P2,本科,上海,2017-09-25,7.8,11171,4801,666,1338,17976,1887,1038,15051,A,是
EMP0532,陈云,客户服务部,运营序列,P5,本科,深圳,2018-08-27,6.8,28355,4900,3088,1087,37430,3930,2594,30906,S,是
EMP0533,李芳,客户服务部,运营序列,P3,本科,成都,2017-10-27,7.7,12250,3679,1379,1247,18555,1948,1084,15523,C,是
EMP0534,顾鹏,财务部,销售序列,P2,本科,成都,2024-12-20,0.5,8937,3182,927,1488,14534,1526,762,12246,B,是
EMP0535,徐鑫,运营部,运营序列,P2,本科,广州,2025-02-02,0.4,8935,3462,1038,1435,14870,1561,789,12520,B,否
EMP0536,祁云,客户服务部,产品序列,P2,本科,广州,2017-12-26,7.5,7305,2373,450,384,10512,1103,440,8969,A,是
EMP0537,吴志强,销售部,技术序列,P2,本科,西安,2020-08-15,4.9,6906,2918,728,1221,11773,1236,541,9996,B,是
EMP0538,刘琴,产品部,技术序列,P3,硕士,深圳,2016-04-11,9.2,14235,6158,1120,1470,22983,2413,1438,19132,B,是
EMP0539,萧旭,市场部,技术序列,P4,本科,杭州,2018-01-04,7.5,17409,2947,2507,1634,24497,2572,1559,20366,D,是
EMP0540,钟建,技术研发部,技术序列,P1,硕士,广州,2024-04-04,1.2,6285,1701,793,685,9464,993,357,8114,D,是
EMP0541,朱刚,客户服务部,销售序列,P2,硕士,成都,2019-09-22,5.8,7179,1127,1057,958,10321,1083,425,8813,B,是
EMP0542,刘瑞,财务部,运营序列,P5,本科,上海,2024-10-09,0.7,30248,7526,1625,1539,40938,4298,2875,33765,B,是
EMP0543,向淑华,技术研发部,运营序列,P2,本科,北京,2020-08-13,4.9,10969,3412,861,1274,16516,1734,921,13861,B,是
EMP0544,李莹,运营部,技术序列,P3,本科,武汉,2024-12-29,0.5,10659,4511,741,1326,17237,1809,978,14450,B,是
EMP0545,王林,财务部,销售序列,P6,本科,上海,2023-07-06,2.0,44546,17995,2276,608,65425,6869,4834,53722,A,是
EMP0546,徐文,产品部,职能序列,P2,本科,杭州,2024-03-29,1.3,8884,1672,659,426,11641,1222,531,9888,B,是
EMP0547,杜明,技术研发部,技术序列,P1,本科,北京,2025-02-02,0.4,10084,1794,1188,1222,14288,1500,743,12045,A,是
EMP0548,田玉英,运营部,职能序列,P3,本科,上海,2018-10-13,6.7,13994,4572,1023,511,20100,2110,1208,16782,A,是
EMP0549,马柳,人力资源部,运营序列,P3,本科,上海,2018-12-28,6.5,12781,3957,1289,1003,19030,1998,1122,15910,A,是
EMP0550,刘亮,运营部,技术序列,P4,本科,深圳,2017-10-14,7.7,22210,5106,3082,1762,32160,3376,2172,26612,B,是
EMP0551,朱秀华,人力资源部,产品序列,P5,本科,武汉,2024-10-30,0.7,18759,7875,2239,472,29345,3081,1947,24317,B,否
EMP0552,曾海燕,销售部,运营序列,P2,硕士,西安,2023-11-12,1.6,7695,3295,688,1333,13011,1366,640,11005,B,否
EMP0553,叶玉兰,财务部,技术序列,P4,本科,杭州,2017-03-18,8.3,13448,3641,1173,1623,19885,2087,1190,16608,B,否
EMP0554,陈阳,财务部,销售序列,P3,大专,成都,2020-04-15,5.2,12441,5189,1189,653,19472,2044,1157,16271,A,是
EMP0555,李瑜,销售部,销售序列,P2,本科,深圳,2016-06-07,9.1,12114,3212,820,380,16526,1735,922,13869,B,是
EMP0556,邓玉兰,市场部,职能序列,P4,本科,北京,2021-04-11,4.2,18448,6845,2092,807,28192,2960,1855,23377,A,是
EMP0557,萧丹,技术研发部,运营序列,P2,本科,武汉,2018-06-30,7.0,6251,1830,540,1749,10370,1088,429,8853,B,是
EMP0558,商强,技术研发部,产品序列,P3,本科,成都,2018-03-28,7.3,12799,2390,1730,1196,18115,1902,1049,15164,D,是
EMP0559,王秀英,运营部,职能序列,P1,本科,深圳,2025-02-26,0.3,7529,3225,946,1199,12899,1354,631,10914,A,否
EMP0560,陈成,运营部,运营序列,P3,本科,武汉,2021-02-28,4.3,9358,2678,1039,1373,14448,1517,755,12176,A,是
EMP0561,杨玉珍,运营部,技术序列,P3,硕士,西安,2019-12-03,5.6,7382,2733,637,1370,12122,1272,569,10281,B,是
EMP0562,潘坤,技术研发部,运营序列,P5,硕士,杭州,2019-06-04,6.1,26150,6802,1856,1548,36356,3817,2508,30031,D,是
EMP0563,谢阳,技术研发部,销售序列,P1,本科,广州,2025-03-14,0.3,6672,1038,851,625,9186,964,334,7888,B,是
EMP0564,任红梅,技术研发部,产品序列,P3,本科,西安,2024-12-01,0.6,11010,1983,1086,1045,15124,1588,809,12727,C,是
EMP0565,史平,产品部,技术序列,P3,本科,广州,2018-07-21,7.0,10601,3168,768,1063,15600,1638,848,13114,B,是
EMP0566,余军,财务部,职能序列,P4,大专,北京,2018-07-02,7.0,18395,6566,1278,879,27118,2847,1769,22502,D,是
EMP0567,李波,市场部,技术序列,P4,本科,广州,2016-04-06,9.2,18594,4656,1237,1093,25580,2685,1646,21249,A,是
EMP0568,阮丽丽,市场部,技术序列,P4,本科,深圳,2023-05-27,2.1,23805,8537,3040,1137,36519,3834,2521,30164,S,是
EMP0569,李艳,销售部,技术序列,P5,硕士,北京,2018-03-02,7.3,26372,9483,1922,992,38769,4070,2701,31998,C,是
EMP0570,唐晶,产品部,产品序列,P6,大专,成都,2020-06-20,5.0,32424,11710,3328,1690,49152,5160,3532,40460,C,是
EMP0571,杨红,人力资源部,职能序列,P3,本科,西安,2019-09-06,5.8,10185,3032,969,1524,15710,1649,856,13205,A,是
EMP0572,刘林,销售部,运营序列,P3,本科,西安,2019-02-15,6.4,11468,4867,1238,407,17980,1887,1038,15055,A,是
EMP0573,陈婷婷,市场部,技术序列,P5,本科,杭州,2016-10-11,8.7,27069,8032,3727,1592,40420,4244,2833,33343,S,否
EMP0574,黄云,运营部,销售序列,M2,大专,北京,2024-09-02,0.8,29636,8448,4053,1625,43762,4595,3100,36067,A,是
EMP0575,陈鑫,销售部,销售序列,P6,博士,成都,2019-02-17,6.4,28176,5911,2679,985,37751,3963,2620,31168,A,是
EMP0576,黄勇,客户服务部,销售序列,P3,本科,西安,2019-12-09,5.6,11429,2769,589,434,15221,1598,817,12806,D,是
EMP0577,杨雪,技术研发部,技术序列,P2,本科,北京,2023-03-12,2.3,10601,1724,982,975,14282,1499,742,12041,B,是
